# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-06-23	1241	48	1	0	620
2020-06-24	1248	48	1	0	620
2020-06-25	1253	48	1	0	620
2020-06-26	1263	48	1	1	625
2020-06-27	1268	48			625
2020-06-28	1272	48			625
2020-06-29	1278	48	2	1	625
2020-06-30	1301	48	2	1	630
2020-07-01	1316	48	2	1	630
2020-07-02	1329	48	3	1	630
2020-07-03	1333	48	2	0	635
2020-07-04	1336	48			635
2020-07-05	1338	48			635
2020-07-06	1345	48	4	1	635
2020-07-07	1353	48	5	1	635
2020-07-08	1360	48	5	1	640
2020-07-09	1366	48	3	1	650
2020-07-10	1379	48	1	1	660
2020-07-11	1393	48			665
2020-07-12	1396	48			670
2020-07-13	1402	48	3	1	675
2020-07-14	1417	48	4	1	695
2020-07-15	1431	48	7	1	710
2020-07-16	1440	48	6	1	720
2020-07-17	1454	48	4	1	730
2020-07-18	1461	48			730
2020-07-19	1463	48			735
2020-07-20	1470	48	4	1	740
2020-07-21	1487	48	5	1	745
2020-07-22	1496	48	5	1	755
2020-07-23	1511	48	9	1	755
2020-07-24	1526	48	6	1	770
2020-07-25	1532	48			785
2020-07-26	1534	48			790
2020-07-27	1538	49	12	1	790
2020-07-28	1554	49	10	2	805
2020-07-29	1565	49	10	3	820
2020-07-30	1588	49	12	3	825
2020-07-31	1598	49	13	3	840
2020-08-01	1614	50			845
2020-08-02	1616	50			850
2020-08-03	1621	50	12	5	855
2020-08-04	1636	50	14	5	870
2020-08-05	1652	50	9	4	885
2020-08-06	1670	50	9	4	900
2020-08-07	1680	50	8	4	915
2020-08-08	1688	50			925
2020-08-09	1691	50			925
2020-08-10	1700	50	7	4	930
2020-08-11	1729	50	9	4	945
2020-08-12	1753	50	12	4	950
2020-08-13	1773	50	9	3	980
2020-08-14	1786	50	10	4	985
2020-08-15	1805	50			1005
2020-08-16	1816	50			1005
2020-08-17	1825	51	13	2	1005
2020-08-18	1852	51	12	1	1025
2020-08-19	1882	51	11	2	1040
2020-08-20	1897	51	8	2	1060
2020-08-21	1914	51	8	2	1070
2020-08-22	1933	51			1080
2020-08-23	1948	52			1080
2020-08-24	1957	52	9	2	1090
2020-08-25	1986	52	9	2	1120
2020-08-26	2020	52	9	3	1145
2020-08-27	2047	52	7	3	1165
2020-08-28	2070	52	7	3	1180
2020-08-29	2093	52			1195
2020-08-30	2102	52			1210
2020-08-31	2109	52	6	4	1220
2020-09-01	2127	52	6	4	1245
2020-09-02	2147	52	7	4	1275
2020-09-03	2174	52	7	5	1290
2020-09-04	2201	52	7	4	1305
2020-09-05	2221	52			1325
2020-09-06	2226	52			1340
2020-09-07	2241	52	9	3	1345
2020-09-08	2261	52	8	3	1375
2020-09-09	2280	52	7	3	1410
2020-09-10	2310	52	9	2	1435
2020-09-11	2329	53	8	3	1460
2020-09-12	2352	53			1485
2020-09-13	2365	53			1495
2020-09-14	2372	53	12	1	1495
2020-09-15	2400	53	13	2	1515
2020-09-16	2437	53	6	2	1540
2020-09-17	2459	54	8	2	1565
2020-09-18	2487	54	8	2	1590
2020-09-19	2499	54			1610
2020-09-20	2513	54			1615
2020-09-21	2523	54	9	2	1630
2020-09-22	2544	54	11	2	1650
2020-09-23	2559	54	12	2	1665
2020-09-24	2570	54	10	2	1700
2020-09-25	2587	54	14	2	1715
2020-09-26	2593	54			1735
2020-09-27	2598	54			1750
2020-09-28	2604	55	15	2	1755
2020-09-29	2614	55	11	1	1790
2020-09-30	2632	55	9	1	1825
2020-10-01	2648	55	12	1	1845
2020-10-02	2664	55	12	2	1875
2020-10-03	2688	55			1885
2020-10-04	2698	55			1900
2020-10-05	2714	55	10	2	1910
2020-10-06	2757	55	8	2	1935
2020-10-07	2812	56	9	2	1950
2020-10-08	2870	56	8	2	1960
2020-10-09	2935	56	12	2	1975
2020-10-10	2998	56			1980
2020-10-11	3022	56			1985
2020-10-12	3067	56	18	1	1985
2020-10-13	3197	57	20	1	1995
2020-10-14	3339	58	25	1	2005
2020-10-15	3486	58	26	2	2020
2020-10-16	3642	58	26	2	2035
2020-10-17	3765	58			2060
2020-10-18	3854	58			2070
2020-10-19	3941	58	37	5	2075
2020-10-20	4199	58	46	7	2110
2020-10-21	4472	58	37	6	2175
2020-10-22	4741	59	40	8	2230
2020-10-23	5005	59	50	8	2285
2020-10-24	5329	59			2345
2020-10-25	5486	59			2370
2020-10-26	5766	60	71	9	2395
2020-10-27	6207	60	82	11	2515
2020-10-28	6667	66	80	11	2660
2020-10-29	7055	71	87	12	2800
2020-10-30	7444	72	83	13	2960
2020-10-31	7811	77			3080
2020-11-01	8096	80			3170
2020-11-02	8346	84	118	13	3220
2020-11-03	8812	87	133	15	3465
2020-11-04	9308	90	133	19	3740
2020-11-05	9765	92	132	20	4010
2020-11-06	10163	98	131	22	4275
2020-11-07	10526	100			4595
2020-11-08	10656	102			4755
2020-11-09	10848	103	140	25	5025
2020-11-10	11302	108	147	26	5460
2020-11-11	11627	110	139	24	5925
2020-11-12	11957	116	132	24	6320
2020-11-13	12293	121	140	23	6705
2020-11-14	12557	124			7070
2020-11-15	12660	126			7355
2020-11-16	12888	131	159	27	7585
2020-11-17	13296	135	175	28	8035
2020-11-18	13637	142	171	29	8535
2020-11-19	14010	147	163	26	9000
2020-11-20	14464	152	156	27	9405
2020-11-21	14755	158			9770
2020-11-22	14845	162			9900
2020-11-23	15105	167	167	28	10080
2020-11-24	15536	176	174	26	10525
2020-11-25	15990	179	164	24	10860
2020-11-26	16295	186	166	25	11190
2020-11-27	16634	189	164	26	11530
2020-11-28	16893	197			11790
2020-11-29	17015	202			11895
2020-11-30	17335	205	188	28	12100
2020-12-01	17740	209	176	31	12520
2020-12-02	18104	217	170	30	12865
2020-12-03	18480	221	158	28	13250
2020-12-04	18859	225	155	28	13710
2020-12-05	19194	232			14000
2020-12-06	19319	239			14090
2020-12-07	19631	241	183	27	14320
2020-12-08	20100	248	198	23	14735
2020-12-09	20610	254	173	25	15215
2020-12-10	21074	262	189	27	15505
2020-12-11	21489	270	187	30	15845
2020-12-12	21868	277			16105
2020-12-13	22066	282			16225
2020-12-14	22371	292	209	30	16525
2020-12-15	22939	303	204	28	16935
2020-12-16	23475	317	202	31	17300
2020-12-17	23971	326	205	33	17675
2020-12-18	24423	334	207	32	18050
2020-12-19	24735	343			18385
2020-12-20	24910	357			18510
2020-12-21	25219	367	211	35	18820
2020-12-22	25794	379	223	37	19275
2020-12-23	26259	396	197	36	19810
2020-12-24	26725	411	172	37	20300
2020-12-25	26881	415	170	37	20720
2020-12-26	27083	428			21095
2020-12-27	27242	438			21295
2020-12-28	27583	441	179	36	21590
2020-12-29	28051	448	196	38	22140
2020-12-30	28444	456	201	37	22675
2020-12-31	28818	463	185	30	23185
2021-01-01	28945	473	170	29	23650
2021-01-02	29196	482			23965
2021-01-03	29318	489			24140
2021-01-04	29625	490	181	25	24435
2021-01-05	30026	496	167	31	25025
2021-01-06	30364	502	152	27	25505
2021-01-07	30607	510	159	30	25965
2021-01-08	30847	514	152	29	26130
2021-01-09	31051	520			26330
2021-01-10	31168	529			26490
2021-01-11	31371	532	129	25	26855
2021-01-12	31647	537	125	24	27325
2021-01-13	31830	540	117	26	27725
2021-01-14	32091	543	113	25	28105
2021-01-15	32248	548	112	20	28230
2021-01-16	32407	553			28485
2021-01-17	32478	555			28605
2021-01-18	32651	558	113	21	28910
2021-01-19	32873	562	125	19	29300
2021-01-20	33070	566	107	17	29655
2021-01-21	33274	571	107	18	29900
2021-01-22	33451	574	106	16	30140
2021-01-23	33611	579			30345
2021-01-24	33652	579			30450
2021-01-25	33782	582	115	15	30565
2021-01-26	33961	588	109	12	30675
2021-01-27	34100	591	88	13	30760
2021-01-28	34251	593	89	13	30850
2021-01-29	34400	597	72	13	30925
2021-01-30	34509	599			30995
2021-01-31	34561	601			31065
